MeetDate,RaceURL,RaceHeader,RaceDetails,RaceSpecificName,RaceGoing,RaceCourse,Placing,HorseNo,HorseName,HorseLink,JockeyName,JockeyLink,TrainerName,TrainerLink,ActualWt,DeclarHorseWt,Draw,LBW,RunningPosition,FinishTime,WinOdds
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",1,6,ALWAYS MY FOLKS,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J345,Z Purton,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=PZ&Season=Current,C S Shum,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=SCS&Season=Current,128,1069,7,---,2 2 1,0:56.75,4.9
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",2,5,MACANESE MASTER,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J532,Y L Chung,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=CCY&Season=Current,Y S Tsui,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=TYS&Season=Current,128,1074,1,1-1/4,1 1 2,0:56.93,3.4
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",3,4,SPICY SPANGLE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J087,H Bowman,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=BH&Season=Current,W K Mo,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=MWK&Season=Current,132,1101,6,1-1/4,4 3 3,0:56.95,5.5
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",4,8,TAIHANG SCENERY,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J314,E C W Wong,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=WEC&Season=Current,C S Shum,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=SCS&Season=Current,120,1132,12,2-3/4,11 11 4,0:57.18,32
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",5,1,COUNTRY DANCER,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2022_H436,J Orman,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=OJM&Season=Current,J Size,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=SJJ&Season=Current,135,1153,5,2-3/4,10 6 5,0:57.19,14
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",6,12,BINGO BABE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K115,M F Poon,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=PMF&Season=Current,P F Yiu,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=YPF&Season=Current,117,1098,10,3-1/4,6 7 6,0:57.27,6.7
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",7,3,LUCKY GENERATIONS,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J338,J Moreira,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=MOJ&Season=Current,C Fownes,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=FC&Season=Current,132,1055,2,3-1/2,7 8 7,0:57.29,6
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",8,9,ORIENTAL SURPRISE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K028,H Bentley,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=BHW&Season=Current,D A Hayes,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=HDA&Season=Current,122,1061,11,4,9 10 8,0:57.38,18
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",9,10,SHINE BRIGHT,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2022_H385,M Chadwick,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=CML&Season=Current,C H Yip,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=YCH&Season=Current,115,1050,8,4-1/4,8 9 9,0:57.45,28
15/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=15/04/2026,RACE 1 (605),Class 5 - 1000M - (40-0),CELEBRATING 50 YEARS OF THE HK SEVENS 1000M HANDICAP,GOOD,"TURF - ""A"" Course",10,7,RUN YES RUN,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J264,M L Yeung,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=YML&Season=Current,W Y So,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=SWY&Season=Current,126,1128,3,5,5 5 10,0:57.56,109
