MeetDate,RaceURL,RaceHeader,RaceDetails,RaceSpecificName,RaceGoing,RaceCourse,Placing,HorseNo,HorseName,HorseLink,JockeyName,JockeyLink,TrainerName,TrainerLink,ActualWt,DeclarHorseWt,Draw,LBW,RunningPosition,FinishTime,WinOdds
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,1,1,FOREMOST TEDDY,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J058,P N Wong,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=WPN&Season=Current,C S Shum,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=SCS&Season=Current,128,1207,1,---,3 1 1 1 1,1:50.01,5.2
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,2,4,FIREFOOT,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J183,K Teetan,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=TEK&Season=Current,W Y So,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=SWY&Season=Current,134,1162,5,N,6 7 8 2 2,1:50.08,3.7
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,3,11,ALL ARE MINE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2022_H293,Z Purton,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=PZ&Season=Current,B Crawford,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=CBJ&Season=Current,127,1036,11,1/2,4 6 6 7 3,1:50.09,6.1
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,4,2,HAILTOTHEVICTORS,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J508,L Ferraris,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=FEL&Season=Current,D Eustace,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=EDJ&Season=Current,135,1113,10,3/4,11 12 12 13 4,1:50.13,21
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,5,10,MEEPMEEP,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2022_H234,H Bowman,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=BH&Season=Current,J Size,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=SJJ&Season=Current,128,1096,8,1-3/4,9 10 10 9 5,1:50.30,6.6
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,6,5,VIVA TASTE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K415,M F Poon,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=PMF&Season=Current,K H Ting,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=TKH&Season=Current,134,1175,4,2-1/4,12 11 11 11 6,1:50.35,11
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,7,13,ROSEWOOD FLEETFOOT,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J524,H Bentley,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=BHW&Season=Current,P F Yiu,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=YPF&Season=Current,127,1088,14,3-1/4,10 9 9 10 7,1:50.53,22
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,8,6,MEGA FORCE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K200,A Atzeni,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=AA&Season=Current,P C Ng,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=NPC&Season=Current,133,1127,2,3-1/2,7 5 5 5 8,1:50.58,18
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,9,7,SPANGLE FORTUNE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2021_G427,M Chadwick,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=CML&Season=Current,K L Man,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=MKL&Season=Current,133,1100,7,4,2 4 3 3 9,1:50.66,24
19/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=19/04/2026,RACE 1 (614),Class 5 - 1800M - (40-0),RACING FOR CHARITY 1800M HANDICAP,GOOD,ALL WEATHER TRACK,10,8,SUPER HONG KONG,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2019_D241,R Kingscote,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=KRW&Season=Current,C H Yip,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=YCH&Season=Current,131,1064,3,4-1/2,8 8 7 8 10,1:50.71,24
